armiger,image_url,blazon,artist,date_granted
Karstula,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Karstula.vaakuna.svg/75px-Karstula.vaakuna.svg.png,"Punaisessa kentässä hopeinen, ankkuriristin muotoinen lukonhela, keskellä avaimenreikä.",Ahti Hammar,16. heinäkuuta 1953
Karvia,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Karvia.vaakuna.svg/120px-Karvia.vaakuna.svg.png,"Sinisessä kentässä kuusikoroisen tyviön yläpuolella linnake, kaikki kultaa.",Olof Eriksson,28. maaliskuuta 1956
Kaskinen,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Kaskinen.vaakuna.svg/75px-Kaskinen.vaakuna.svg.png,"Halkoisen kilven oikeassa sinisessä kentässä hopeinen perämela, vasemmassa hopeisessa kentässä vihreä laakerinlehvä.",A. W. Rancken(piirtänyt uudelleen),9. huhtikuuta 1793
Kauhajoki,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Kauhajoki.vaakuna.svg/75px-Kauhajoki.vaakuna.svg.png,"Aaltokorokatkoisen kilven sinisessä yläkentässä kaksi hopeista puhemiehen nuijaa ristikkäin, hopeisessa alakentässä kohti katsova musta karhunpää, jonka kieli punainen.",Ahti Hammar,17. lokakuuta 1952
Kauhava,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Kauhava.vaakuna.2009.svg/75px-Kauhava.vaakuna.2009.svg.png,Sinisellä kilvellä kultainen irtonainen mantovanristi alapuolellaan kilven reunasta reunaan ulottuva punainen neliherttainen helavyö; helat ja hertat kultaa.,Reijo Helläkoski,1. tammikuuta 2009
Kauniainen,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Kauniainen.vaakuna.svg/120px-Kauniainen.vaakuna.svg.png,"Sinisessä kilvessä istuva, etukäpälissään mustaa kuusenkäpyä pitelevä kultainen, punavaruksinen orava, sen yläpuolella saatteena kolme kultaista ruusua vieretysten.",Ahto Numminen,11. maaliskuuta 1952
Kaustinen,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Kaustinen.vaakuna.svg/75px-Kaustinen.vaakuna.svg.png,Sinisessä kultaisin naularistein sirotellussa kentässä vastapalkeittain asetettu kultainen viulu.,Ilmari Wirkkala,25. lokakuuta 1950
Keitele,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Keitele.vaakuna.svg/75px-Keitele.vaakuna.svg.png,Mustassa kentässä kolme kultaista nuottavenettä alatusten.,Ahti Hammar,16. toukokuuta 1962
Kemi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Kemi.vaakuna.svg/120px-Kemi.vaakuna.svg.png,"Katkoisen kilven punaisessa yläkentässä hopeinen ankkuri, sinisessä alakentässä hopealohi.",G. A. Kajanus,28. toukokuuta 1873
Kemijärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Kemij%C3%A4rvi.vaakuna.svg/75px-Kemij%C3%A4rvi.vaakuna.svg.png,"Mustassa kentässä kanto, jonka yläpää teroitettu kolmikärkiseksi ja sen molemmin puolin saatteena kuusisakarainen tähti, kaikki hopeaa.",Olof Eriksson,1. tammikuuta 1973
Keminmaa,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Keminmaa.vaakuna.svg/75px-Keminmaa.vaakuna.svg.png,"Punaisessa kentässä hyppäävä lohi, jonka leuassa riippulukko; kaikki hopeaa, paitsi lukossa musta avaimenreikä.",Ahti Hammar,4. heinäkuuta 1955
Kemiönsaari,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Dragsfj%C3%A4rd.vaakuna.svg/75px-Dragsfj%C3%A4rd.vaakuna.svg.png,Sinisessä kentässä kultainen potkuri vinoristikkäin.,Olof Eriksson,1. tammikuuta 2009
Kempele,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Kempele.vaakuna.svg/120px-Kempele.vaakuna.svg.png,"Sinisessä kentässä aaltokoroinen vasen pieli ja kaksi alakkain, yläviistoon lentävää sorsaa; kaikki hopeaa.",Kaj Kajander,24. marraskuuta 1969
Kerava,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Kerava.vaakuna.svg/75px-Kerava.vaakuna.svg.png,Sinisessä kentässä yläreunaltaan lohenpyrstökoroinen kultahirsi.,Ahti Hammar,22. huhtikuuta 1955
Keuruu,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Keuruu.vaakuna.svg/75px-Keuruu.vaakuna.svg.png,Hopeanväriseen ylälakioon sijoitettu musta kirkkovene ja punaisessa alakentässä ristikkäin olevat puintivarstat.,Olof Eriksson,30. joulukuuta 1952
Kihniö,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Kihni%C3%B6.vaakuna.svg/75px-Kihni%C3%B6.vaakuna.svg.png,Sinisessä kentässä kaksi kultaista alapuolelta sahakoroista palkkia.,Toivo Vuorela,10. lokakuuta 1960
Kinnula,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Kinnula_coat_of_arms.svg/75px-Kinnula_coat_of_arms.svg.png,"Hopeakentässä kolme oksakoroista, musta-punakatkoista vastapalkkia.",Ahti Hammar,2. tammikuuta 1959
Kirkkonummi,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Kirkkonummi.vaakuna.svg/120px-Kirkkonummi.vaakuna.svg.png,"Kilpi aaltokoroisesti sini-hopeakatkoinen; yläkentässä kultainen irtonainen kreikkalainen risti, alakentässä sininen vene.",A. W. Rancken,29. maaliskuuta 1951
Kitee,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Kitee.vaakuna.svg/120px-Kitee.vaakuna.svg.png,Puna-mustakatkoisessa kilvessä hopeinen ruoriratas.,Tapio Vallioja,7. marraskuuta 1953
Kittilä,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Kittil%C3%A4.vaakuna.svg/120px-Kittil%C3%A4.vaakuna.svg.png,Hopeakentässä kävelevä ahma ja yläpuolella kaarilakio; kaikki mustaa paitsi ahman varukset punaiset.,Einari Junttila,26. marraskuuta 1963
Kiuruvesi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Kiuruvesi.vaakuna.svg/75px-Kiuruvesi.vaakuna.svg.png,"Mustassa kentässä kultainen kiuru siivet levitettyinä, alapuolella saatteena kolme hopeista vesilehvää asetettuina 2 + 1.",Tapio Vallioja,7. kesäkuuta 1963
Kivijärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Kivij%C3%A4rvi.vaakuna.svg/75px-Kivij%C3%A4rvi.vaakuna.svg.png,"Hopeakentässä punainen, alapuoleltaan aaltokoroinen irtohirsi, jolla seisoo musta, punavaruksinen kukko.",Gustaf von Numers,18. huhtikuuta 1963
Kokemäki,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Kokem%C3%A4ki.vaakuna.svg/75px-Kokem%C3%A4ki.vaakuna.svg.png,"Sinisessä kentässä hopeinen, kultapäärmeinen ja -nauhainen piispanhiippa.",Gustaf von Numers,4. helmikuuta 1953
Kokkola,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Kokkola.vaakuna.svg/120px-Kokkola.vaakuna.svg.png,"Kultakentässä kyljellään musta tervatynnyri, jonka tapinreiästä ja pohjista lyövät punaiset tulenlieskat.",Olof Eriksson(vanhan vaakunan pohjalta),17. joulukuuta 1956
Kolari,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kolari.vaakuna.svg/120px-Kolari.vaakuna.svg.png,Kilpi alaisen harjakoron jakama hopeiseen ja mustaan kenttään; yläkentässä viisi nousevaa punaista tulikielekettä vieretysten.,Olof Eriksson,10. joulukuuta 1951
Konnevesi,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Konnevesi.vaakuna.svg/75px-Konnevesi.vaakuna.svg.png,Punaisessa kentässä hopeiset tukkisakset.,Gustaf von Numers,21. elokuuta 1964
Kontiolahti,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Kontiolahti.vaakuna.svg/120px-Kontiolahti.vaakuna.svg.png,"Hopeisessa kentässä pystyssä karhu olallaan uittohaka, kaikki mustaa, paitsi karhun varukset ja uittohaan varsi punaiset.",Aarno Liuksiala,27. helmikuuta 1953
Korsnäs,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Korsn%C3%A4s.vaakuna.svg/75px-Korsn%C3%A4s.vaakuna.svg.png,"Sinisessä kentässä ristikkäin kaksi ylös työntyvää harppuunaa, joiden kärjet hopeaa ja varret kultaa; yläkulmassa saatteena kultainen Mantovan risti.",Gustaf von Numers,8. kesäkuuta 1968
Koski Tl,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Koski.Tl.vaakuna.svg/120px-Koski.Tl.vaakuna.svg.png,"Punaisessa kentässä kuusisakaraista kannustähteä ympäröivä rengas, jonka ulkoreuna on lohenpyrstökoroinen, molemmat hopeaa.",Gustaf von Numers,21. syyskuuta 1966
Kotka,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Kotka.vaakuna.svg/75px-Kotka.vaakuna.svg.png,"Sinisessä kentässä kultainen luonnollinen kotka siivet koholla, seisoen ristikkäin olevalla ankkurilla ja Merkuriuksen sauvalla, jotka molemmat ovat hopeisia.",Olof Eriksson,19. syyskuuta 1957
Kouvola,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Kouvola.vaakuna.2009.svg/75px-Kouvola.vaakuna.2009.svg.png,"Mustalla kilvellä hopeinen aaltokoroinen tyviö ja kultainen liljapäinen, kuusipuolainen sideruusuke.",Tapani Talari,1. tammikuuta 2009
Kristiinankaupunki,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Kristiinankaupunki.vaakuna.svg/75px-Kristiinankaupunki.vaakuna.svg.png,Aaltokoroisen hopea-sinihalkoisen kilven oikeassa kentässä yksitoista kentästä kasvavaa vihreää kuusta asetettuina 3 + 3 + 3 + 2.,Olof Eriksson(piirtänyt uudelleen),7. maaliskuuta 1652
Kruunupyy,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Kruunupyy.vaakuna.svg/75px-Kruunupyy.vaakuna.svg.png,"Punaisessa kentässä kruunattu apilaristi, jonka alasakara muodostaa kaateisen aurankärjen, kaikki kultaa.",Gustaf von Numers,14. kesäkuuta 1974
Kuhmo,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Kuhmo.vaakuna.svg/120px-Kuhmo.vaakuna.svg.png,Mustassa kentässä kolme kultaista kuusta asetettuna 2 + 1.,Olof Eriksson,1. maaliskuuta 1952
Kuhmoinen,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Kuhmoinen.vaakuna.svg/75px-Kuhmoinen.vaakuna.svg.png,"Hopeakentässä kolme punaista, yläreunaltaan aaltokoroista hirttä.",Ahti Hammar,4. elokuuta 1955
Kumlinge,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Kumlinge.vapen.svg/75px-Kumlinge.vapen.svg.png,Punaisessa kentässä kultainen kotka siivet levällään seisomassa hopeakivien muodostamalla merimerkillä.,Matts Dreijer,19. joulukuuta 1951
Kuopio,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Kuopio.vaakuna.svg/120px-Kuopio.vaakuna.svg.png,"Katkoisen kilven mustassa yläkentässä pystyssä viritetty jousi ja sen yläpuolella kruunu, kaikki kultaa, paitsi nuolen kärki ja sulitettu pyrstö hopeaa; hopeisessa alakentässä punainen yksitorninen kirkko, jonka ovi- ja ikkuna-aukot mustat.",Seppo Ruotsalainen (piirtänyt uudelleen),12. kesäkuuta 1958
Kuortane,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Kuortane.vaakuna.svg/75px-Kuortane.vaakuna.svg.png,"Aaltokoroisesti katkoinen hopea-sininen kilpi, jonka yläkentässä kolme nousevaa punaista liekkiä ja alakentässä uiva hopeinen kuha.",Ahti Hammar,17. lokakuuta 1957
Kurikka,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Kurikka.vaakuna.2009.svg/75px-Kurikka.vaakuna.2009.svg.png,Siniseen ja hopeaan lohenpyrstökoroilla halkaistu kilpi.,Kirsi-Maaria Markus,1. tammikuuta 2009
Kustavi,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Kustavi_vaakuna.svg/75px-Kustavi_vaakuna.svg.png,"Punaisessa kentässä aaltokoroinen hopeapalkki, jonka saatteena molemmin puolin paaluittain kulta-ankkuri.","Arvo Viljanti, A. Lukala jaAhti Hammar",17. heinäkuuta 1956
Kuusamo,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Kuusamo.vaakuna.svg/75px-Kuusamo.vaakuna.svg.png,"Punakentässä hopeinen juokseva poro, jonka yläpuolella kultainen revontuli.",Kaj Kajander,23. marraskuuta 1959
Kyyjärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Kyyj%C3%A4rvi.vaakuna.svg/120px-Kyyj%C3%A4rvi.vaakuna.svg.png,"Sinisessä kentässä aaltokoroinen vasen pieli ja luikerteleva käärme, kaikki hopeaa.",Kaj Kajander,21. heinäkuuta 1969
Kärkölä,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/K%C3%A4rk%C3%B6l%C3%A4.vaakuna.svg/75px-K%C3%A4rk%C3%B6l%C3%A4.vaakuna.svg.png,"Punaisessa kentässä kolme hopeista, hirsittäistä havukirvestä alatusten.",Ahti Hammar,5. syyskuuta 1955
Kärsämäki,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/K%C3%A4rs%C3%A4m%C3%A4ki.vaakuna.svg/75px-K%C3%A4rs%C3%A4m%C3%A4ki.vaakuna.svg.png,"Hopeakentässä tyviö ja vene, molemmat siniset, veneestä nousee seitsemän punaista tulikielekettä.",Gustaf von Numers,5. lokakuuta 1964
Kökar,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/K%C3%B6kar.vaakuna.svg/75px-K%C3%B6kar.vaakuna.svg.png,"Sinisessä kentässä hyppäävä hopeakala, jonka varukset punaiset.",Matts Dreijer,16. huhtikuuta 1952
Lahti,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Lahti.vaakuna.svg/75px-Lahti.vaakuna.svg.png,"Hopeakentässä musta, seitsenpuolainen rautatievaunun pyörä; pyörän kehältä nousee jokaisen puolapuun kohdalta punainen liekki.",Ahto Numminen(vanhan vaakunan pohjalta),14. toukokuuta 1968
Laihia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Laihia.vaakuna.svg/75px-Laihia.vaakuna.svg.png,"Vihreässä kentässä kultaisella oksalla istuva, etukäpälissään kultakäpyä pitelevä hopeinen orava.",Ahti Hammar,11. maaliskuuta 1952
Laitila,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Laitila_vaakuna.svg/75px-Laitila_vaakuna.svg.png,"Punaisessa kentässä hopeinen, kultavaruksinen kukko pidellen oikeassa jalassaan hopeista kovelia.",Ahti Hammar,26. kesäkuuta 1961
Lapinjärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Lapinj%C3%A4rvi.vaakuna.svg/120px-Lapinj%C3%A4rvi.vaakuna.svg.png,"Hopea-sinihalkoinen kilpi, kummassakin kentässä vuorovärinen kärki, josta nousee apilaristi.",Ahti Hammar,7. kesäkuuta 1958
Lapinlahti,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Lapinlahti.vaakuna.svg/75px-Lapinlahti.vaakuna.svg.png,"Mustassa kentässä kaskenviertäjä työvälineenään viertokanki; miehen molemmin puolin saatteena kuusikärkinen tähti; kaikki kultaa, paitsi miehen kasvot ja kädet luonnonväriset sekä virsut ja viertokangen tyvi punaiset.",Ahti Hammar,11. marraskuuta 1952
Lappajärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Lappaj%C3%A4rvi.vaakuna.svg/75px-Lappaj%C3%A4rvi.vaakuna.svg.png,Sinisessä kentässä hopeinen raakapurjeella ja peräsimellä varustettu vene. Alla liekkikoroinen kultatyviö.,Ahti Hammar,27. marraskuuta 1957
Lappeenranta,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Lappeenranta.vaakuna.svg/75px-Lappeenranta.vaakuna.svg.png,"Hopeakentässä luonnonvärinen metsäläinen, pidellen maahan laskettua nuijaa, seisomassa vihreällä maalla. Otsan ja vyötäisten ympärillä vihreä seppele.",Olof Eriksson(piirtänyt uudelleen),29. joulukuuta 1954
Lapua,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Lapua.vaakuna.svg/120px-Lapua.vaakuna.svg.png,"Kultakentässä musta, kävelevä, punavaruksinen karhu, jolla ratsastaa siniseen vyötettyyn mekkoon, housuihin ja paulakenkiin pukeutunut mies, pidellen oikeassa kädessään iskuun kohotettua mustaa nuijaa.",Gustaf von Numers,11. joulukuuta 1950
Laukaa,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Laukaa.vaakuna.svg/75px-Laukaa.vaakuna.svg.png,"Hopeakentässä punainen sydän, josta kasvaa kolmihaarainen vihreä havunoksa.",Olof Eriksson,5. syyskuuta 1955
Lemi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Lemi.vaakuna.svg/120px-Lemi.vaakuna.svg.png,"Kilpi aaltokoroisesti vastalohkoinen, punahopeinen; punaisessa kentässä hopeinen, kultaemiöinen perunankukka.",Gustaf von Numers,16. toukokuuta 1962
Lemland,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Lemland.vaakuna.svg/120px-Lemland.vaakuna.svg.png,"Mustassa kentässä kultainen kappeli, jossa kaksi punaista ikkunaa: katon harjalla kaksi kultaristiä, joiden sakarat päättyvät punaisiin kolmioihin.",Matts Dreijer,28. joulukuuta 1951
Lempäälä,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Lemp%C3%A4%C3%A4l%C3%A4.vaakuna.svg/75px-Lemp%C3%A4%C3%A4l%C3%A4.vaakuna.svg.png,"Punaisessa kentässä aaltokoroinen kultapaalu, jonka päällikkeenä on musta, viritetty jalkajousi, mustakärkisine kultanuolineen; tyvessä, paalun kummallakin puolella saatteena kultainen aurakärki.",Gustaf von Numers,7. maaliskuuta 1950
Leppävirta,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Lepp%C3%A4virta.vaakuna.svg/120px-Lepp%C3%A4virta.vaakuna.svg.png,"Mustan kentän tyvessä aaltokoroinen kultahirsi, jonka yläpuolella kultainen, punanorkkoinen ja -silmuinen leppä.",Ahti Hammar,14. kesäkuuta 1950
Lestijärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Lestij%C3%A4rvi.vaakuna.svg/120px-Lestij%C3%A4rvi.vaakuna.svg.png,Hopeakentässä sininen teerenpyrstö.,Gustaf von Numers,19. tammikuuta 1967
Lieksa,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Lieksa.vaakuna.svg/75px-Lieksa.vaakuna.svg.png,"Punaisessa kentässä tyvestä nouseva käsijousella ampuva mies, karvalakki päässä, kirves vyöllä; kaikki hopeaa.",Olof Eriksson,20. huhtikuuta 1953
Lieto,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Lieto_vaakuna.svg/75px-Lieto_vaakuna.svg.png,Punaisessa kentässä nouseva Pyhä Pietari pidellen oikeassa kädessään avainta ja vasemmassa kirjaa; kaikki kultaa.,Ahti Hammar,10. lokakuuta 1960
Liminka,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Liminka.vaakuna.svg/120px-Liminka.vaakuna.svg.png,Sinisessä kentässä aaltokoroinen oikea pieli ja kolme kävelevää kärppää alatusten; kaikki muu on hopeaa paitsi kärppien hännänpäät ovat mustat.,Ahti Hammar,8. kesäkuuta 1956
Liperi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Liperi.vaakuna.svg/75px-Liperi.vaakuna.svg.png,Hopeakentässä punainen toistoristi.,Ahti Hammar,17. heinäkuuta 1956
Lohja,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Lohja.vaakuna.svg/75px-Lohja.vaakuna.svg.png,Sinisessä kentässä hopeinen halstari paaluttain; sen varren kummallakin puolella saatteena kultainen pähkinäterttu.,Olof Eriksson,1. tammikuuta 1997
Loimaa,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Loimaa.vaakuna.svg/120px-Loimaa.vaakuna.svg.png,"Sinisessä kentässä paaluittain vehnäntähkä, jossa kaksi lehteä, saatteena neljä apilaristiä asetettuina 2 + 2; kaikki kultaa.",Aake Kaarnama,1. tammikuuta 2005
Loppi,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Loppi_vaakuna.svg/75px-Loppi_vaakuna.svg.png,Kilpi aaltokoroisesti puna-hopeakatkoinen; siinä vuorovärinen raudanmerkki.,Olof Eriksson,23. syyskuuta 1952
Loviisa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Loviisa.vaakuna.svg/120px-Loviisa.vaakuna.svg.png,Sini-kultakatkoinen kilpi. Sinisessä kentässä kaksi kultaista tykkiä ristikkäin ja kultaisessa kentässä musta ankkuri.,Ahti Hammar(piirtänyt uudelleen),18. maaliskuuta 1969
Luhanka,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Luhanka.vaakuna.svg/75px-Luhanka.vaakuna.svg.png,"Vihreässä kentässä kävelevä, hopeinen, kultavaruksinen mäyrä, jonka saatteena kolme kultaista, naulakantaista kaarisakararistiä, kaksi yläpuolella, yksi alapuolella.",Gustaf von Numers,1. syyskuuta 1965
Lumijoki,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Lumijoki.vaakuna.svg/75px-Lumijoki.vaakuna.svg.png,"Sinisessä kentässä alainen aaltokoroinen hirsi, jonka yläpuolella lumikide; molemmat hopeaa.",Toivo Mikkonen jaKaj Kajander,11. heinäkuuta 1969
Lumparland,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Lumparland.vaakuna.svg/120px-Lumparland.vaakuna.svg.png,"Sinisessä kentässä kultalyhde, molemmin puolin sitä kohti kaartuva hopeinen, punavaruksinen kala.",Matts Dreijer,16. huhtikuuta 1952
Luoto,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Luoto.vaakuna.svg/75px-Luoto.vaakuna.svg.png,Sinisessä kentässä hopeinen kaksimastoinen verkkovene.,Gustaf von Numers,17. lokakuuta 1952
Luumäki,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Luum%C3%A4ki.vaakuna.svg/75px-Luum%C3%A4ki.vaakuna.svg.png,"Kultakentässä honka, jonka rungon oikealla puolella punavaruksinen karjunpää, vasemmalla puolella viisisakarainen vallitus; kaikki mustaa.",Gustaf von Numers,30. huhtikuuta 1951
Maalahti,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Maalahti.vaakuna.svg/75px-Maalahti.vaakuna.svg.png,"Sinisessä kentässä aaltokoroinen tyviö ja kolme lukkopeltiä asetettuina 2:1, kaikki hopeaa.",Karl-David Långbacka,9. heinäkuuta 1982
Maarianhamina,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Maarianhamina.vaakuna.svg/120px-Maarianhamina.vaakuna.svg.png,"Sinisellä kilvellä pysty kulta-ankkuri, sen yläpuolella lakio, jossa kolme vihreää lehmuksen lehteä.",Nils Byman,19. joulukuuta 1951
Marttila,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Marttila.vaakuna.svg/120px-Marttila.vaakuna.svg.png,"Punaisessa, vihreätyviöisessä kilvessä ratsastava, viittaansa leikkaava Pyhä Martti, jonka alapuolella istuva kerjäläinen; kaikki kultaa.",Ahti Hammar,17. heinäkuuta 1956
Masku,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Askainen.vaakuna.svg/75px-Askainen.vaakuna.svg.png,"Punaisessa kentässä ristikkäin kaksi hopeista marsalkansauvaa, joiden päätehelat kultaa. Sauvojen saatteena neljä kulta-apilaa.",Gustaf von Numers,1. tammikuuta 2009
Merijärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Merijarvi.vaakuna.svg/75px-Merijarvi.vaakuna.svg.png,"Sinisessä kentässä kaarikoroisesta tyviöstä nousevaan sinkilään kiinnitetty rengas, kaikki hopeaa.",Gustaf von Numers,27. huhtikuuta 1967
